speaker_distance,a,b,c
2,0.04240396796008876,-5.5549414625190865,196.42215091800944
3,0.037890714500824374,-4.953892963501408,175.3277087172586
4,0.0343865319760136,-4.470232627973068,157.7993143042122
5,0.031805203634271084,-4.149223725147966,147.23776974943007
6,0.030160038643139542,-3.9472384942686807,141.90433472299378
7,0.02911866803945018,-3.760809066006628,132.37661520906582
8,0.029672810803685112,-3.9196993808753575,140.3446421863743
9,0.030268374608601708,-4.0522431944398445,147.16351556690074
10,0.02890688206073122,-3.8191906730731597,136.94676159348103
11,0.02946363349527202,-3.916026876142559,141.12644990386568
12,0.02600238094995988,-3.382873302200979,120.0539218614085
