event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,4,-7.6,11.0,7.0,92.00610777531936,83.24444444444447,babble,syllable,p256,mgb_normalisation,92.00610777531934,90.34149293193902
1,4,-6.0,6.0,7.0,89.31368318402099,84.84444444444446,babble,syllable,p256,mgb_normalisation,89.31368318402099,90.34149293193902
2,4,-7.1,3.0,7.0,86.2038576498559,83.74444444444447,babble,syllable,p256,mgb_normalisation,86.2038576498559,90.34149293193902
3,4,-6.3,8.0,7.0,91.58892582949886,84.54444444444447,babble,syllable,p256,mgb_normalisation,91.58892582949886,90.34149293193902
4,4,-7.1,5.0,7.0,89.14911522239515,83.74444444444447,babble,syllable,p256,mgb_normalisation,89.14911522239515,90.34149293193902
5,4,-6.9,12.0,7.0,93.00003341222715,83.94444444444446,babble,syllable,p256,mgb_normalisation,93.00003341222715,90.34149293193902
6,4,-4.5,7.0,7.0,90.34149293193904,86.34444444444446,babble,syllable,p256,mgb_normalisation,90.34149293193902,90.34149293193902
7,4,-6.9,10.0,7.0,92.0152836843556,83.94444444444446,babble,syllable,p256,mgb_normalisation,92.0152836843556,90.34149293193902
8,4,-7.8,2.0,7.0,84.40078082039427,83.04444444444447,babble,syllable,p256,mgb_normalisation,84.40078082039426,90.34149293193902
9,4,-6.2,4.0,7.0,87.57049330475357,84.64444444444446,babble,syllable,p256,mgb_normalisation,87.57049330475357,90.34149293193902
10,4,-7.2,9.0,7.0,91.73820004985969,83.64444444444446,babble,syllable,p256,mgb_normalisation,91.73820004985969,90.34149293193902
