,event_id,subject,sound_type,n_sounds,is_correct,mean_speaker_distance,speaker_dist_st_dev
0,0,5,countries,4,False,7.75,4.193248541803041
0,1,5,countries,2,True,10.0,2.8284271247461903
0,2,5,countries,1,False,4.0,0
0,3,5,countries,2,False,6.5,0.7071067811865476
0,4,5,countries,2,False,6.0,4.242640687119285
0,5,5,countries,2,True,6.5,6.363961030678928
0,6,5,countries,3,True,5.333333333333333,4.932882862316247
0,7,5,countries,6,False,6.333333333333333,2.804757862395017
0,8,5,countries,3,False,10.333333333333334,2.0816659994661326
0,9,5,countries,4,False,6.25,3.5
0,10,5,countries,3,False,8.0,3.605551275463989
0,11,5,countries,3,False,7.0,4.58257569495584
0,12,5,countries,3,False,8.333333333333334,4.041451884327381
0,13,5,countries,2,True,4.5,0.7071067811865476
0,14,5,countries,1,False,12.0,0
0,15,5,countries,3,False,5.666666666666667,3.2145502536643185
0,16,5,countries,5,False,6.2,4.08656334834051
0,17,5,countries,5,False,8.4,2.701851217221259
0,18,5,countries,1,False,3.0,0
0,19,5,countries,6,True,7.166666666666667,3.3115957885386114
0,0,5,countries,2,False,5.5,3.5355339059327378
0,1,5,countries,2,True,8.0,5.656854249492381
0,2,5,countries,2,True,10.0,2.8284271247461903
0,3,5,countries,2,False,7.0,1.4142135623730951
0,4,5,countries,1,False,7.0,0
0,5,5,countries,1,False,10.0,0
0,6,5,countries,2,False,7.0,2.8284271247461903
0,7,5,countries,2,False,10.5,2.1213203435596424
0,8,5,countries,3,True,6.666666666666667,3.0550504633038935
0,9,5,countries,2,False,5.5,2.1213203435596424
0,10,5,countries,2,True,3.0,1.4142135623730951
0,11,5,countries,1,False,9.0,0
0,12,5,countries,3,False,10.666666666666666,1.5275252316519468
0,13,5,countries,2,True,10.5,2.1213203435596424
0,14,5,countries,2,False,6.5,0.7071067811865476
0,15,5,countries,2,False,6.5,2.1213203435596424
0,16,5,countries,1,False,3.0,0
0,17,5,countries,1,False,5.0,0
0,18,5,countries,1,False,6.0,0
0,19,5,countries,3,False,5.666666666666667,2.0816659994661326
0,0,5,countries,2,False,5.0,1.4142135623730951
0,1,5,countries,2,False,7.0,2.8284271247461903
0,2,5,countries,1,False,11.0,0
0,3,5,countries,1,False,4.0,0
0,4,5,countries,2,False,3.5,0.7071067811865476
0,5,5,countries,1,True,8.0,0
0,6,5,countries,2,True,7.5,2.1213203435596424
0,7,5,countries,3,True,4.666666666666667,3.7859388972001824
0,8,5,countries,3,False,6.0,3.605551275463989
0,9,5,countries,2,True,8.0,1.4142135623730951
0,10,5,countries,2,False,10.5,2.1213203435596424
0,11,5,countries,3,True,9.666666666666666,1.5275252316519468
0,12,5,countries,3,False,4.333333333333333,2.0816659994661326
0,13,5,countries,1,True,3.0,0
0,14,5,countries,1,False,7.0,0
0,15,5,countries,1,True,2.0,0
0,16,5,countries,3,False,9.333333333333334,3.7859388972001824
0,17,5,countries,1,False,8.0,0
0,18,5,countries,1,True,4.0,0
0,19,5,countries,3,True,4.333333333333333,1.5275252316519465
0,0,5,countries,1,True,11.0,0
0,1,5,countries,2,True,2.5,0.7071067811865476
0,2,5,countries,3,True,4.333333333333333,1.5275252316519465
0,3,5,countries,2,True,5.0,2.8284271247461903
0,4,5,countries,3,True,10.0,2.0
0,5,5,countries,3,False,8.333333333333334,3.7859388972001824
0,6,5,countries,1,False,6.0,0
0,7,5,countries,1,False,11.0,0
0,8,5,countries,2,False,6.5,2.1213203435596424
0,9,5,countries,2,True,6.5,0.7071067811865476
0,10,5,countries,3,True,5.0,3.605551275463989
0,11,5,countries,1,False,8.0,0
0,12,5,countries,3,False,5.0,3.0
0,13,5,countries,2,False,8.0,5.656854249492381
0,0,5,countries,3,False,7.666666666666667,3.7859388972001824
0,1,5,countries,3,True,6.666666666666667,1.5275252316519465
0,2,5,countries,2,False,8.5,4.949747468305833
0,3,5,countries,2,False,11.0,1.4142135623730951
0,4,5,countries,4,False,6.75,3.095695936834452
0,5,5,countries,1,False,3.0,0
0,6,5,countries,3,False,5.666666666666667,3.7859388972001824
0,7,5,countries,3,False,8.666666666666666,4.932882862316248
0,8,5,countries,3,True,7.666666666666667,3.7859388972001824
0,9,5,countries,2,True,9.0,4.242640687119285
0,10,5,countries,3,True,7.0,5.0
0,11,5,countries,6,False,7.666666666666667,3.444802848737017
0,12,5,countries,1,False,8.0,0
0,13,5,countries,3,True,7.666666666666667,3.5118845842842465
0,14,5,countries,3,False,5.0,3.605551275463989
0,15,5,countries,3,False,8.333333333333334,1.5275252316519468
0,16,5,countries,5,False,8.0,3.391164991562634
0,17,5,countries,3,True,6.666666666666667,4.509249752822894
0,18,5,countries,5,False,5.6,3.361547262794322
0,19,5,countries,4,False,6.75,4.112987559751022
0,0,5,countries,1,True,7.0,0
0,1,5,countries,1,True,12.0,0
0,2,5,countries,1,True,4.0,0
0,3,5,countries,6,True,8.166666666666666,2.786873995477131
0,4,5,countries,1,False,2.0,0
0,5,5,countries,6,True,5.5,3.271085446759225
0,6,5,countries,6,True,7.666666666666667,3.559026084010437
0,7,5,countries,6,True,6.333333333333333,2.160246899469287
0,8,5,countries,6,True,6.166666666666667,3.65604522218567
0,9,5,countries,1,False,9.0,0
0,0,5,countries,1,True,9.0,0
0,1,5,countries,1,True,7.0,0
0,2,5,countries,6,True,6.0,2.898275349237888
0,3,5,countries,1,False,4.0,0
0,4,5,countries,6,True,8.5,2.4289915602982237
0,5,5,countries,6,False,7.5,3.7282703764614498
0,6,5,countries,1,False,8.0,0
0,7,5,countries,1,False,12.0,0
0,8,5,countries,1,False,7.0,0
0,9,5,countries,1,False,10.0,0
0,10,5,countries,6,False,6.333333333333333,3.141125063837266
0,11,5,countries,1,True,3.0,0
0,12,5,countries,6,False,7.166666666666667,3.7103458958251676
0,13,5,countries,6,False,8.166666666666666,2.857738033247041
0,14,5,countries,6,False,6.5,3.0166206257996713
0,15,5,countries,1,True,7.0,0
0,16,5,countries,1,True,2.0,0
0,17,5,countries,1,True,3.0,0
0,18,5,countries,6,False,7.0,2.6076809620810595
0,0,5,countries,1,True,10.0,0
0,1,5,countries,6,False,8.666666666666666,2.160246899469287
0,2,5,countries,1,True,4.0,0
0,3,5,countries,6,True,8.166666666666666,3.0605010483034745
0,0,5,countries,1,True,10.0,0
0,1,5,countries,6,True,7.333333333333333,3.559026084010437
0,2,5,countries,6,True,6.333333333333333,3.5023801430836525
0,0,5,countries,6,False,6.5,4.08656334834051
0,1,5,countries,1,False,12.0,0
0,2,5,countries,1,False,7.0,0
0,0,5,countries,1,True,12.0,0
0,1,5,countries,1,False,5.0,0
0,2,5,countries,1,True,7.0,0
0,3,5,countries,6,False,7.5,3.391164991562634
0,4,5,countries,6,True,6.333333333333333,3.5023801430836525
0,5,5,countries,6,True,7.333333333333333,3.32665998663324
0,6,5,countries,1,True,6.0,0
0,7,5,countries,6,False,6.833333333333333,3.3115957885386114
0,8,5,countries,6,False,5.333333333333333,3.0767948691238205
0,9,5,countries,1,True,7.0,0
0,10,5,countries,1,True,6.0,0
0,11,5,countries,6,True,5.5,3.082207001484488
0,12,5,countries,1,False,5.0,0
0,13,5,countries,6,False,9.5,1.8708286933869707
0,14,5,countries,6,True,6.5,3.7282703764614498
0,15,5,countries,6,True,7.0,3.3466401061363023
0,16,5,countries,1,False,11.0,0
0,17,5,countries,6,True,6.0,3.847076812334269
0,18,5,countries,1,False,9.0,0
0,19,5,countries,6,True,7.833333333333333,2.48327740429189
0,0,5,countries,1,True,9.0,0
0,1,5,countries,1,False,8.0,0
0,2,5,countries,1,True,10.0,0
0,3,5,countries,1,True,12.0,0
0,4,5,countries,1,True,7.0,0
0,5,5,countries,1,True,10.0,0
0,6,5,countries,6,True,6.0,3.63318042491699
0,7,5,countries,6,True,6.666666666666667,3.669695718539436
0,8,5,countries,1,False,9.0,0
0,9,5,countries,1,True,7.0,0
0,0,5,countries,1,True,10.0,0
0,0,5,countries,6,True,7.333333333333333,2.7325202042558927
0,0,5,countries,6,True,5.666666666666667,2.581988897471611
0,0,5,countries,6,True,6.333333333333333,3.6147844564602556
0,0,5,countries,6,True,7.5,3.449637662132068
0,0,5,countries,6,True,6.5,3.0166206257996713
0,0,5,countries,6,True,6.333333333333333,3.265986323710904
0,0,5,countries,6,False,7.666666666666667,3.559026084010437
0,1,5,countries,6,True,6.166666666666667,3.1885210782848317
0,0,5,countries,6,False,6.666666666666667,3.669695718539436
0,0,5,countries,6,True,5.666666666666667,2.7325202042558927
0,0,5,countries,6,True,6.333333333333333,3.265986323710904
0,0,5,countries,6,True,6.333333333333333,2.943920288775949
0,0,5,countries,6,False,7.0,4.47213595499958
