event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,12,-5.0,2.0,7.0,84.40078082039426,85.84444444444446,babble,syllable,p307,mgb_normalisation,84.40078082039426,90.34149293193902
1,12,-2.4,4.0,7.0,87.57049330475357,88.44444444444446,babble,syllable,p307,mgb_normalisation,87.57049330475357,90.34149293193902
2,12,-6.4,11.0,7.0,92.00610777531934,84.44444444444446,babble,syllable,p307,mgb_normalisation,92.00610777531934,90.34149293193902
3,12,-3.5,3.0,7.0,86.2038576498559,87.34444444444446,babble,syllable,p307,mgb_normalisation,86.2038576498559,90.34149293193902
4,12,-5.6,6.0,7.0,89.313683184021,85.24444444444447,babble,syllable,p307,mgb_normalisation,89.31368318402099,90.34149293193902
5,12,-1.7,12.0,7.0,93.00003341222718,89.14444444444446,babble,syllable,p307,mgb_normalisation,93.00003341222715,90.34149293193902
6,12,2.9,7.0,7.0,90.34149293193904,93.74444444444448,babble,syllable,p307,mgb_normalisation,90.34149293193902,90.34149293193902
7,12,-0.5,10.0,7.0,92.0152836843556,90.34444444444446,babble,syllable,p307,mgb_normalisation,92.0152836843556,90.34149293193902
8,12,0.0,5.0,7.0,89.14911522239515,90.84444444444446,babble,syllable,p307,mgb_normalisation,89.14911522239515,90.34149293193902
9,12,0.8,9.0,7.0,91.73820004985969,91.64444444444446,babble,syllable,p307,mgb_normalisation,91.73820004985969,90.34149293193902
10,12,0.5,8.0,7.0,91.58892582949888,91.34444444444446,babble,syllable,p307,mgb_normalisation,91.58892582949886,90.34149293193902
