,event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,0,1,4.0,2.0,7.0,78.31957467028259,79.10211326655399,babble,syllable,p268,syllable_rms,86.2,90.84444444444446
1,0,1,4.0,2.0,7.0,78.33063281758757,79.10211326655399,babble,syllable,p268,syllable_rms,86.2,90.84444444444446
0,1,1,-7.25,3.0,7.0,81.43093806239608,72.21508209778233,babble,syllable,p245,syllable_rms,88.06666666666666,90.84444444444446
1,1,1,-7.25,3.0,7.0,81.44863140310788,72.21508209778233,babble,syllable,p245,syllable_rms,88.06666666666666,90.84444444444446
0,2,1,-0.25,4.0,7.0,79.69857134922114,77.6332149287519,babble,syllable,p318,syllable_rms,88.4,90.84444444444446
1,2,1,-0.25,4.0,7.0,79.69716620649666,77.6332149287519,babble,syllable,p318,syllable_rms,88.4,90.84444444444446
0,3,1,-4.0,5.0,7.0,80.02903652988407,70.71028265218959,babble,syllable,p248,syllable_rms,89.82222222222222,90.84444444444446
1,3,1,-4.0,5.0,7.0,80.03414052883289,70.71028265218959,babble,syllable,p248,syllable_rms,89.82222222222222,90.84444444444446
0,4,1,10.75,6.0,7.0,78.67891528134246,85.22145177064888,babble,syllable,p307,syllable_rms,90.06666666666666,90.84444444444446
1,4,1,10.75,6.0,7.0,78.68118156749857,85.22145177064888,babble,syllable,p307,syllable_rms,90.06666666666666,90.84444444444446
0,5,1,7.25,12.0,7.0,77.07410441529761,79.8965103765275,babble,syllable,p307,syllable_rms,91.4888888888889,90.84444444444446
1,5,1,7.25,12.0,7.0,77.07458232838415,79.8965103765275,babble,syllable,p307,syllable_rms,91.4888888888889,90.84444444444446
0,6,1,-2.0,11.0,7.0,80.13601486201195,71.57887963593488,babble,syllable,p268,syllable_rms,91.66666666666667,90.84444444444446
1,6,1,-2.0,11.0,7.0,80.1455552822349,71.57887963593488,babble,syllable,p268,syllable_rms,91.66666666666667,90.84444444444446
0,7,1,-4.0,10.0,7.0,78.72267224298616,68.54676854890941,babble,syllable,p284,syllable_rms,91.53333333333333,90.84444444444446
1,7,1,-4.0,10.0,7.0,78.73732909852248,68.54676854890941,babble,syllable,p284,syllable_rms,91.53333333333333,90.84444444444446
0,8,1,-3.25,9.0,7.0,81.28769606406368,72.06129015205501,babble,syllable,p318,syllable_rms,91.64444444444445,90.84444444444446
1,8,1,-3.25,9.0,7.0,81.29982705231656,72.06129015205501,babble,syllable,p318,syllable_rms,91.64444444444445,90.84444444444446
0,9,1,-1.75,8.0,7.0,81.05858592936204,73.8965103765275,babble,syllable,p307,syllable_rms,91.28888888888888,90.84444444444446
1,9,1,-1.75,8.0,7.0,81.06244643547052,73.8965103765275,babble,syllable,p307,syllable_rms,91.28888888888888,90.84444444444446
