,event_id,timestamp,subject_id,session_index,plane,setup,task,block,trial_index,stim_type,headpose_offset_azi,headpose_offset_ele,stim_filename,stim_level,speaker_id,speaker_proc,speaker_chan,stim_azi,stim_ele,stim_dist,resp_azi,resp_ele,resp_dist,reaction_time
0,,2024-06-24 14:14:48,101,3,distance,cathedral,localisation_accuracy,1,0,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_5.wav,89.14911522239515,3,RX81,4,0.0,0.0,5.0,0,0,4.409090909090909,14.046380758285522
0,,2024-06-24 14:14:56,101,3,distance,cathedral,localisation_accuracy,1,1,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_8.wav,87.57049330475355,2,RX81,3,0.0,0.0,4.0,0,0,5.2595307917888565,6.167590856552124
0,,2024-06-24 14:15:00,101,3,distance,cathedral,localisation_accuracy,1,2,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_4.wav,91.58892582949888,6,RX81,7,0.0,0.0,8.0,0,0,9.717008797653959,1.843557357788086
0,,2024-06-24 14:15:04,101,3,distance,cathedral,localisation_accuracy,1,3,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_9.wav,86.2038576498559,1,RX81,2,0.0,0.0,3.0,0,0,3.558651026392962,1.5154519081115723
0,,2024-06-24 14:15:07,101,3,distance,cathedral,localisation_accuracy,1,4,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_9.wav,84.40078082039426,0,RX81,1,0.0,0.0,2.0,0,0,2.341642228739003,1.2650041580200195
0,,2024-06-24 14:15:11,101,3,distance,cathedral,localisation_accuracy,1,5,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_4.wav,90.341492931939,5,RX81,6,0.0,0.0,7.0,0,0,7.752199413489736,1.7506523132324219
0,,2024-06-24 14:15:15,101,3,distance,cathedral,localisation_accuracy,1,6,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_5.wav,93.00003341222718,10,RX81,11,0.0,0.0,12.0,0,0,11.124633431085044,2.0779130458831787
0,,2024-06-24 14:15:19,101,3,distance,cathedral,localisation_accuracy,1,7,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_9.wav,89.31368318402099,4,RX81,5,0.0,0.0,6.0,0,0,7.063049853372435,1.4373574256896973
0,,2024-06-24 14:15:21,101,3,distance,cathedral,localisation_accuracy,1,8,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_4.wav,91.73820004985969,7,RX81,8,0.0,0.0,9.0,0,0,4.7756598240469215,0.8983814716339111
0,,2024-06-24 14:15:24,101,3,distance,cathedral,localisation_accuracy,1,9,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_3.wav,92.00610777531934,9,RX81,10,0.0,0.0,11.0,0,0,8.734604105571847,0.9217655658721924
0,,2024-06-24 14:15:27,101,3,distance,cathedral,localisation_accuracy,1,10,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_2.wav,92.0152836843556,8,RX81,9,0.0,0.0,10.0,0,0,10.567448680351907,0.9334447383880615
0,,2024-06-24 14:15:30,101,3,distance,cathedral,localisation_accuracy,1,11,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_2.wav,84.40078082039426,0,RX81,1,0.0,0.0,2.0,0,0,4.658357771260998,0.8748722076416016
0,,2024-06-24 14:15:33,101,3,distance,cathedral,localisation_accuracy,1,12,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_1.wav,90.34149293193903,5,RX81,6,0.0,0.0,7.0,0,0,7.693548387096774,0.9686160087585449
0,,2024-06-24 14:15:36,101,3,distance,cathedral,localisation_accuracy,1,13,pinknoise,,,data\stim_files\pinknoise_resamp_24414\pinknoise_9.wav,92.0152836843556,8,RX81,9,0.0,0.0,10.0,0,0,10.875366568914957,0.936638355255127
