,event_id,subject,sound_type,n_sounds,is_correct,mean_speaker_distance,speaker_dist_st_dev
0,0,99,countries,1,False,8.4,3.2093613071762426
1,0,99,countries,2,False,8.4,3.2093613071762426
2,0,99,countries,3,False,8.4,3.2093613071762426
3,0,99,countries,4,False,8.4,3.2093613071762426
4,0,99,countries,5,False,8.4,3.2093613071762426
5,0,99,countries,6,False,8.4,3.2093613071762426
0,1,99,countries,1,False,4.5,3.5355339059327378
1,1,99,countries,2,False,4.5,3.5355339059327378
2,1,99,countries,3,False,4.5,3.5355339059327378
3,1,99,countries,4,False,4.5,3.5355339059327378
4,1,99,countries,5,False,4.5,3.5355339059327378
5,1,99,countries,6,False,4.5,3.5355339059327378
0,2,99,countries,1,False,6.4,3.6469165057620936
1,2,99,countries,2,False,6.4,3.6469165057620936
2,2,99,countries,3,False,6.4,3.6469165057620936
3,2,99,countries,4,False,6.4,3.6469165057620936
4,2,99,countries,5,False,6.4,3.6469165057620936
5,2,99,countries,6,False,6.4,3.6469165057620936
0,3,99,countries,1,False,7.333333333333333,3.3862466931200785
1,3,99,countries,2,False,7.333333333333333,3.3862466931200785
2,3,99,countries,3,False,7.333333333333333,3.3862466931200785
3,3,99,countries,4,False,7.333333333333333,3.3862466931200785
4,3,99,countries,5,False,7.333333333333333,3.3862466931200785
5,3,99,countries,6,False,7.333333333333333,3.3862466931200785
0,4,99,countries,1,False,5.0,2.0
1,4,99,countries,2,False,5.0,2.0
2,4,99,countries,3,False,5.0,2.0
3,4,99,countries,4,False,5.0,2.0
4,4,99,countries,5,False,5.0,2.0
5,4,99,countries,6,False,5.0,2.0
0,5,99,countries,1,False,6.0,2.9154759474226504
1,5,99,countries,2,False,6.0,2.9154759474226504
2,5,99,countries,3,False,6.0,2.9154759474226504
3,5,99,countries,4,False,6.0,2.9154759474226504
4,5,99,countries,5,False,6.0,2.9154759474226504
5,5,99,countries,6,False,6.0,2.9154759474226504
0,6,99,countries,1,False,7.2,3.3466401061363023
1,6,99,countries,2,False,7.2,3.3466401061363023
2,6,99,countries,3,False,7.2,3.3466401061363023
3,6,99,countries,4,False,7.2,3.3466401061363023
4,6,99,countries,5,False,7.2,3.3466401061363023
5,6,99,countries,6,False,7.2,3.3466401061363023
0,7,99,countries,1,False,6.6,3.0495901363953815
1,7,99,countries,2,False,6.6,3.0495901363953815
2,7,99,countries,3,False,6.6,3.0495901363953815
3,7,99,countries,4,False,6.6,3.0495901363953815
4,7,99,countries,5,False,6.6,3.0495901363953815
5,7,99,countries,6,False,6.6,3.0495901363953815
0,8,99,countries,1,False,6.833333333333333,3.763863263545405
1,8,99,countries,2,False,6.833333333333333,3.763863263545405
2,8,99,countries,3,False,6.833333333333333,3.763863263545405
3,8,99,countries,4,False,6.833333333333333,3.763863263545405
4,8,99,countries,5,False,6.833333333333333,3.763863263545405
5,8,99,countries,6,False,6.833333333333333,3.763863263545405
0,0,99,countries,1,False,8.2,3.420526275297414
1,0,99,countries,2,False,8.2,3.420526275297414
2,0,99,countries,3,False,8.2,3.420526275297414
3,0,99,countries,4,False,8.2,3.420526275297414
4,0,99,countries,5,False,8.2,3.420526275297414
5,0,99,countries,6,False,8.2,3.420526275297414
0,0,99,countries,1,False,8.5,4.949747468305833
1,0,99,countries,2,False,8.5,4.949747468305833
2,0,99,countries,3,False,8.5,4.949747468305833
3,0,99,countries,4,False,8.5,4.949747468305833
4,0,99,countries,5,False,8.5,4.949747468305833
5,0,99,countries,6,False,8.5,4.949747468305833
0,0,99,countries,1,False,6.666666666666667,2.0816659994661326
1,0,99,countries,2,False,6.666666666666667,2.0816659994661326
2,0,99,countries,3,False,6.666666666666667,2.0816659994661326
3,0,99,countries,4,False,6.666666666666667,2.0816659994661326
4,0,99,countries,5,False,6.666666666666667,2.0816659994661326
5,0,99,countries,6,False,6.666666666666667,2.0816659994661326
0,1,99,countries,1,False,6.6,3.847076812334269
1,1,99,countries,2,False,6.6,3.847076812334269
2,1,99,countries,3,False,6.6,3.847076812334269
3,1,99,countries,4,False,6.6,3.847076812334269
4,1,99,countries,5,False,6.6,3.847076812334269
5,1,99,countries,6,False,6.6,3.847076812334269
0,2,99,countries,1,False,7.8,3.3466401061363023
1,2,99,countries,2,False,7.8,3.3466401061363023
2,2,99,countries,3,False,7.8,3.3466401061363023
3,2,99,countries,4,False,7.8,3.3466401061363023
4,2,99,countries,5,False,7.8,3.3466401061363023
5,2,99,countries,6,False,7.8,3.3466401061363023
0,3,99,countries,1,False,7.833333333333333,2.48327740429189
1,3,99,countries,2,False,7.833333333333333,2.48327740429189
2,3,99,countries,3,False,7.833333333333333,2.48327740429189
3,3,99,countries,4,False,7.833333333333333,2.48327740429189
4,3,99,countries,5,False,7.833333333333333,2.48327740429189
5,3,99,countries,6,False,7.833333333333333,2.48327740429189
0,4,99,countries,1,False,8.0,2.8284271247461903
1,4,99,countries,2,False,8.0,2.8284271247461903
2,4,99,countries,3,False,8.0,2.8284271247461903
3,4,99,countries,4,False,8.0,2.8284271247461903
4,4,99,countries,5,False,8.0,2.8284271247461903
5,4,99,countries,6,False,8.0,2.8284271247461903
0,5,99,countries,1,False,7.6,3.361547262794322
1,5,99,countries,2,False,7.6,3.361547262794322
2,5,99,countries,3,False,7.6,3.361547262794322
3,5,99,countries,4,False,7.6,3.361547262794322
4,5,99,countries,5,False,7.6,3.361547262794322
5,5,99,countries,6,False,7.6,3.361547262794322
0,6,99,countries,1,False,8.6,3.5071355833500366
1,6,99,countries,2,False,8.6,3.5071355833500366
2,6,99,countries,3,False,8.6,3.5071355833500366
3,6,99,countries,4,False,8.6,3.5071355833500366
4,6,99,countries,5,False,8.6,3.5071355833500366
5,6,99,countries,6,False,8.6,3.5071355833500366
0,7,99,countries,1,False,8.333333333333334,5.507570547286102
1,7,99,countries,2,False,8.333333333333334,5.507570547286102
2,7,99,countries,3,False,8.333333333333334,5.507570547286102
3,7,99,countries,4,False,8.333333333333334,5.507570547286102
4,7,99,countries,5,False,8.333333333333334,5.507570547286102
5,7,99,countries,6,False,8.333333333333334,5.507570547286102
0,8,99,countries,1,True,6.5,3.5355339059327378
1,8,99,countries,2,True,6.5,3.5355339059327378
2,8,99,countries,3,True,6.5,3.5355339059327378
3,8,99,countries,4,True,6.5,3.5355339059327378
4,8,99,countries,5,True,6.5,3.5355339059327378
5,8,99,countries,6,True,6.5,3.5355339059327378
0,0,99,countries,5,True,7.0,4.527692569068709
0,1,99,countries,5,False,6.6,3.4351128074635335
0,2,99,countries,4,False,7.0,3.559026084010437
0,3,99,countries,3,True,7.0,4.58257569495584
0,4,99,countries,3,False,8.666666666666666,2.0816659994661326
0,5,99,countries,3,False,6.0,2.0
0,6,99,countries,4,False,6.5,3.1091263510296048
0,7,99,countries,4,False,4.75,2.217355782608345
0,8,99,countries,4,True,7.0,4.242640687119285
0,9,99,countries,3,True,7.666666666666667,4.041451884327381
0,10,99,countries,2,False,9.5,0.7071067811865476
0,11,99,countries,6,False,8.5,3.6193922141707713
0,12,99,countries,5,True,7.8,2.588435821108957
0,13,99,countries,5,False,6.6,3.5777087639996634
0,14,99,countries,4,True,7.25,2.5
0,15,99,countries,1,False,8.0,0
0,16,99,countries,1,False,5.0,0
0,17,99,countries,2,False,7.5,4.949747468305833
0,18,99,countries,4,False,9.0,2.581988897471611
0,19,99,countries,4,False,6.25,2.217355782608345
0,0,99,countries,1,False,12.0,0
0,1,99,countries,5,False,6.4,2.4083189157584592
0,2,99,countries,1,False,8.0,0
0,3,99,countries,6,False,7.0,3.7416573867739413
0,4,99,countries,6,False,5.5,2.7386127875258306
0,5,99,countries,6,False,8.333333333333334,3.723797345005051
0,6,99,countries,1,False,9.0,0
0,7,99,countries,4,False,8.5,3.415650255319866
0,8,99,countries,3,False,8.333333333333334,5.507570547286102
0,9,99,countries,1,False,4.0,0
0,10,99,countries,5,False,6.6,2.073644135332772
0,11,99,countries,4,False,7.25,3.774917217635375
0,12,99,countries,4,False,7.75,3.4034296427770228
0,13,99,countries,1,False,5.0,0
0,14,99,countries,5,False,9.2,2.588435821108957
0,15,99,countries,5,False,6.8,4.54972526643093
0,16,99,countries,2,False,7.0,4.242640687119285
0,17,99,countries,6,False,8.5,3.271085446759225
0,18,99,countries,5,True,5.4,3.0495901363953815
0,19,99,countries,3,False,3.6666666666666665,2.081665999466133
0,0,99,countries,2,False,7.5,6.363961030678928
0,1,99,countries,2,True,7.5,0.7071067811865476
0,2,99,countries,5,False,5.8,3.96232255123179
0,3,99,countries,6,True,6.166666666666667,2.6394443859772205
0,4,99,countries,3,True,5.333333333333333,4.932882862316247
0,5,99,countries,5,False,7.6,3.646916505762094
0,6,99,countries,2,False,11.5,0.7071067811865476
0,7,99,countries,2,False,5.0,1.4142135623730951
0,8,99,countries,5,True,7.0,3.1622776601683795
0,9,99,countries,4,True,7.25,2.6299556396765835
0,10,99,countries,4,False,8.5,2.6457513110645907
0,11,99,countries,4,False,9.5,3.1091263510296048
0,12,99,countries,4,True,5.5,3.872983346207417
0,13,99,countries,4,False,6.25,4.031128874149275
0,14,99,countries,4,False,7.75,3.593976442141304
0,15,99,countries,5,True,7.2,3.5637059362410923
0,16,99,countries,3,False,7.0,4.358898943540674
0,17,99,countries,1,False,5.0,0
0,18,99,countries,5,False,6.8,3.7013511046643495
0,19,99,countries,1,False,2.0,0
0,0,99,countries,3,False,11.0,1.0
0,1,99,countries,3,False,3.6666666666666665,2.081665999466133
0,2,99,countries,1,False,9.0,0
0,3,99,countries,1,False,10.0,0
0,4,99,countries,2,True,7.0,1.4142135623730951
0,5,99,countries,2,False,9.0,4.242640687119285
0,6,99,countries,3,True,6.666666666666667,3.2145502536643185
0,7,99,countries,2,False,6.5,6.363961030678928
0,8,99,countries,3,False,4.0,2.0
0,9,99,countries,3,True,5.333333333333333,3.0550504633038935
0,10,99,countries,2,False,6.5,4.949747468305833
0,11,99,countries,1,False,8.0,0
0,12,99,countries,3,True,7.333333333333333,3.5118845842842465
0,13,99,countries,2,False,8.5,0.7071067811865476
0,14,99,countries,2,False,5.5,2.1213203435596424
0,15,99,countries,2,True,9.0,2.8284271247461903
0,16,99,countries,2,True,6.5,0.7071067811865476
0,17,99,countries,3,False,9.0,1.0
0,18,99,countries,1,False,9.0,0
0,19,99,countries,2,True,6.5,6.363961030678928
0,0,99,countries,2,True,6.5,2.1213203435596424
0,1,99,countries,3,True,9.666666666666666,3.214550253664318
0,2,99,countries,3,False,10.0,2.0
0,3,99,countries,2,False,9.5,3.5355339059327378
0,4,99,countries,2,True,10.5,2.1213203435596424
0,5,99,countries,2,True,10.0,2.8284271247461903
0,6,99,countries,1,True,8.0,0
0,7,99,countries,1,True,2.0,0
0,8,99,countries,1,False,6.0,0
0,9,99,countries,3,False,6.333333333333333,3.5118845842842465
0,10,99,countries,2,False,5.0,2.8284271247461903
0,11,99,countries,2,False,6.5,4.949747468305833
0,12,99,countries,1,False,8.0,0
0,13,99,countries,2,True,9.5,3.5355339059327378
0,14,99,countries,3,False,8.666666666666666,4.163331998932265
0,15,99,countries,2,False,6.5,4.949747468305833
0,16,99,countries,2,True,2.5,0.7071067811865476
0,17,99,countries,2,False,5.5,2.1213203435596424
0,18,99,countries,3,False,8.333333333333334,2.0816659994661326
0,19,99,countries,3,False,8.333333333333334,3.214550253664318
0,0,99,countries,1,True,10.0,0
0,1,99,countries,1,False,9.0,0
0,2,99,countries,1,False,8.0,0
0,3,99,countries,1,True,8.0,0
0,4,99,countries,1,True,11.0,0
0,5,99,countries,1,True,12.0,0
0,6,99,countries,1,True,4.0,0
0,7,99,countries,1,True,8.0,0
0,8,99,countries,1,True,2.0,0
0,9,99,countries,1,True,8.0,0
0,10,99,countries,1,True,5.0,0
0,11,99,countries,1,True,3.0,0
0,12,99,countries,1,True,7.0,0
0,13,99,countries,1,True,5.0,0
0,14,99,countries,1,True,2.0,0
0,15,99,countries,1,True,8.0,0
0,0,99,countries,1,1.0,True,11.0,0
0,1,99,countries,2,2.0,True,4.5,3.5355339059327378
0,2,99,countries,4,3.0,False,6.0,4.320493798938574
0,3,99,countries,1,1.0,True,3.0,0
0,4,99,countries,3,2.0,False,6.666666666666667,1.5275252316519465
0,5,99,countries,1,1.0,True,6.0,0
0,6,99,countries,5,4.0,False,6.0,2.7386127875258306
0,7,99,countries,2,2.0,True,11.5,0.7071067811865476
0,8,99,countries,2,2.0,True,8.5,4.949747468305833
0,9,99,countries,1,1.0,True,8.0,0
0,10,99,countries,6,5.0,False,8.0,3.7416573867739413
0,11,99,countries,1,1.0,True,4.0,0
0,12,99,countries,1,1.0,True,5.0,0
0,13,99,countries,6,5.0,False,6.833333333333333,2.9268868558020253
