event_id,subject,threshold,distance_masker,distance_target,level_masker,level_target,masker_type,stim_type,talker,normalisation_method,normalisation_level_masker,normalisation_level_target
0,11,-7.9,5.0,7.0,89.14911522239515,82.94444444444446,babble,syllable,p248,mgb_normalisation,89.14911522239515,90.34149293193902
1,11,-7.5,8.0,7.0,91.58892582949886,83.34444444444446,babble,syllable,p248,mgb_normalisation,91.58892582949886,90.34149293193902
2,11,-10.7,9.0,7.0,91.73820004985969,80.14444444444446,babble,syllable,p248,mgb_normalisation,91.73820004985969,90.34149293193902
3,11,-1.8,7.0,7.0,90.34149293193904,89.04444444444447,babble,syllable,p248,mgb_normalisation,90.34149293193902,90.34149293193902
4,11,-9.3,10.0,7.0,92.0152836843556,81.54444444444447,babble,syllable,p248,mgb_normalisation,92.0152836843556,90.34149293193902
5,11,-10.1,3.0,7.0,86.2038576498559,80.74444444444447,babble,syllable,p248,mgb_normalisation,86.2038576498559,90.34149293193902
6,11,-9.3,12.0,7.0,93.00003341222718,81.54444444444447,babble,syllable,p248,mgb_normalisation,93.00003341222715,90.34149293193902
7,11,-9.4,2.0,7.0,84.40078082039426,81.44444444444446,babble,syllable,p248,mgb_normalisation,84.40078082039426,90.34149293193902
8,11,-8.6,11.0,7.0,92.00610777531936,82.24444444444447,babble,syllable,p248,mgb_normalisation,92.00610777531934,90.34149293193902
9,11,-9.6,4.0,7.0,87.57049330475357,81.24444444444447,babble,syllable,p248,mgb_normalisation,87.57049330475357,90.34149293193902
10,11,-11.6,6.0,7.0,89.31368318402099,79.24444444444447,babble,syllable,p248,mgb_normalisation,89.31368318402099,90.34149293193902
